cbsacode,num_counties,cbsatitle,num_munis,num_local,pop_muni,pop_total,hhi_pop_muni,hhi_pop_total,munis_pp,share_in_central_city,cbsa_type,index_circ,index_rect,index_circ_central,index_rect_central
29540,1,"Lancaster, PA",19,60,158072,553676,0.164205956,0.034160604,0.000120198,0.103856768,Metropolitan Statistical Area,0.704775892,0.610099625,0.70565621,0.610857036
24660,3,"Greensboro-High Point, NC",25,25,551506,551506,0.341077335,0.341077335,4.53304225158e-05,0.540815512,Metropolitan Statistical Area,0.629213563,0.55018335,0.664557829,0.601286195
19660,2,"Deltona-Daytona Beach-Ormond Beach, FL",21,21,551236,551236,0.110570348,0.110570348,3.809620561792e-05,0.173758608,Metropolitan Statistical Area,0.631305502,0.517943955,0.531116053,0.482722698
17820,2,"Colorado Springs, CO",11,11,542983,542983,0.798114764,0.798114764,2.025846113045e-05,0.891291256,Metropolitan Statistical Area,0.577763868,0.527392049,0.535249607,0.494444466
16700,3,"Charleston-North Charleston, SC",27,27,536832,536832,0.176794006,0.176794006,5.029506437768e-05,0.282419826,Metropolitan Statistical Area,0.72726743,0.590407219,0.72710665,0.657135614
19340,4,"Davenport-Moline-Rock Island, IA-IL",55,112,328817,536215,0.145971958,0.066293165,0.000167266,0.188374066,Metropolitan Statistical Area,0.595446052,0.454594372,0.540428568,0.422903612
43780,2,"South Bend-Mishawaka, IN-MI",14,42,174536,492568,0.438145088,0.120526545,8.021267818673e-05,0.209824836,Metropolitan Statistical Area,0.645041696,0.536299072,0.662819146,0.543451546
35380,3,"New Orleans-Metairie, LA",9,9,485994,485994,0.621793997,0.621793997,1.851874714502e-05,0.77567007,Metropolitan Statistical Area,NA,NA,0.601364075,0.434075889
29620,3,"Lansing-East Lansing, MI",26,74,225350,483638,0.300460411,0.085194948,0.000115376,0.232992445,Metropolitan Statistical Area,0.656790732,0.559603242,0.759751415,0.682777837
49660,2,"Youngstown-Warren, OH",21,59,189975,479886,0.165636696,0.0496682,0.000110541,0.125592328,Metropolitan Statistical Area,0.563178213,0.409008424,0.44835192,0.292229918
44140,1,"Springfield, MA",7,23,357978,462718,0.248736169,0.15527605,1.955427428501e-05,0.334521242,Metropolitan Statistical Area,0.499624871,0.315884062,0.371735312,0.243884254
22220,3,"Fayetteville-Springdale-Rogers, AR",34,34,461551,461551,0.127342529,0.127342529,7.366466544325e-05,0.206326061,Metropolitan Statistical Area,0.635541388,0.468161435,0.691104179,0.543435367
49620,1,"York-Hanover, PA",37,72,123326,458696,0.162708411,0.036153139,0.000300018,0.097742296,Metropolitan Statistical Area,0.574920148,0.485062037,0.574742879,0.487061701
47930,1,"Waterbury-Shelton, CT",6,19,278468,449929,0.255924028,0.112277934,2.154646135283e-05,0.252953244,Metropolitan Statistical Area,0.439083954,0.278711778,0.364504823,0.350115502
15940,2,"Canton-Massillon, OH",23,54,179319,445932,0.216518603,0.071152569,0.000128263,0.157929909,Metropolitan Statistical Area,0.685628229,0.597442061,0.78095631,0.686570422
33700,1,"Modesto, CA",9,9,441626,441626,0.29527446,0.29527446,2.037923491823e-05,0.495376178,Metropolitan Statistical Area,0.67621419,0.562066537,0.800363331,0.710789112
30460,6,"Lexington-Fayette, KY",12,12,440910,440910,0.548264329,0.548264329,2.721643872899e-05,0.729838289,Metropolitan Statistical Area,0.683878891,0.570219323,0.456007277,0.397927956
16580,3,"Champaign-Urbana, IL",40,90,198898,435105,0.24941778,0.105614477,0.000201108,0.204810333,Metropolitan Statistical Area,0.62217481,0.475024295,0.620293389,0.430414458
46700,1,"Vallejo, CA",7,7,432844,432844,0.227297769,0.227297769,1.617210819602e-05,0.288524272,Metropolitan Statistical Area,0.671721932,0.549016182,0.567317401,0.445497308
39740,1,"Reading, PA",28,72,174652,429318,0.307132194,0.06753467,0.000160319,0.220917828,Metropolitan Statistical Area,0.567240792,0.470803953,0.572967203,0.470666018
31700,1,"Manchester-Nashua, NH",2,31,206586,424079,0.506939657,0.138906056,9.68119814508e-06,0.272265309,Metropolitan Statistical Area,0.599644878,0.386891435,0.669949833,0.448055072
21780,3,"Evansville, IN",13,41,142118,411735,0.677535512,0.139048624,9.147328276502e-05,0.282914982,Metropolitan Statistical Area,0.557445553,0.456077997,0.490270318,0.440283437
22420,1,"Flint, MI",14,31,164151,407443,0.287625498,0.076847976,8.528732691241e-05,0.197887803,Metropolitan Statistical Area,0.565704921,0.36494046,0.597254066,0.444556672
49180,5,"Winston-Salem, NC",23,23,406326,406326,0.395808368,0.395808368,5.660479516447e-05,0.616057058,Metropolitan Statistical Area,0.526282671,0.472300728,0.392952067,0.367039392
39900,2,"Reno, NV",4,4,405321,405321,0.516777156,0.516777156,9.86872133444e-06,0.6633039,Metropolitan Statistical Area,0.721580706,0.561769595,0.797382386,0.691902163
18580,3,"Corpus Christi, TX",21,21,404613,404613,0.622224407,0.622224407,5.190144656746e-05,0.785375161,Metropolitan Statistical Area,NA,NA,0.843047898,0.761147028
15980,1,"Cape Coral-Fort Myers, FL",6,6,401278,401278,0.340504071,0.340504071,1.495222763271e-05,0.509646679,Metropolitan Statistical Area,0.593818965,0.418538393,0.401124793,0.259260516
20500,4,"Durham-Chapel Hill, NC",8,8,398451,398451,0.541429431,0.541429431,2.00777510911e-05,0.716592504,Metropolitan Statistical Area,0.642916707,0.561344828,0.607035424,0.541489487
44060,2,"Spokane-Spokane Valley, WA",19,19,394230,394230,0.41317238,0.41317238,4.819521599066e-05,0.58105928,Metropolitan Statistical Area,0.588401213,0.485073713,0.613393816,0.539195246
37340,1,"Palm Bay-Melbourne-Titusville, FL",16,16,389650,389650,0.178997341,0.178997341,4.106249197998e-05,0.315519056,Metropolitan Statistical Area,0.623777395,0.466189224,0.630391247,0.528822338
45940,1,"Trenton-Princeton, NJ",5,12,131889,385898,0.527827968,0.150121029,3.791066730356e-05,0.237381381,Metropolitan Statistical Area,0.653823959,0.572271471,NA,NA
28660,3,"Killeen-Temple, TX",19,19,383732,383732,0.239067942,0.239067942,4.951372311926e-05,0.407213889,Metropolitan Statistical Area,0.690940706,0.618165294,0.702234322,0.623533806
27140,8,"Jackson, MS",44,44,380981,380981,0.183215939,0.183215939,0.000115491,0.393093094,Metropolitan Statistical Area,0.580717261,0.442606853,0.565119471,0.517375031
28940,9,"Knoxville, TN",33,33,379225,379225,0.280767602,0.280767602,8.701957940536e-05,0.508004483,Metropolitan Statistical Area,0.709515781,0.56389436,0.818794102,0.70433893
12940,10,"Baton Rouge, LA",37,37,375713,375713,0.363945282,0.363945282,9.84794244543e-05,0.591368944,Metropolitan Statistical Area,0.608267324,0.485807305,0.607888254,0.550639575
11460,1,"Ann Arbor, MI",8,28,168963,374006,0.537549686,0.149940426,4.734764415878e-05,0.324957354,Metropolitan Statistical Area,0.406115487,0.358999737,0.347611714,0.334692344
12100,2,"Atlantic City-Hammonton, NJ",29,39,179783,370627,0.08810826,0.062285547,0.000161306,0.128789862,Metropolitan Statistical Area,0.573516989,0.341641108,NA,NA
44100,2,"Springfield, IL",30,56,168495,363229,0.463876519,0.19807448,0.000178047,0.312183223,Metropolitan Statistical Area,0.64229898,0.523805946,0.645618541,0.527097272
29200,4,"Lafayette-West Lafayette, IN",21,71,136399,361108,0.378889562,0.118809854,0.00015396,0.196160152,Metropolitan Statistical Area,0.528491952,0.315602465,0.463971609,0.412361914
42220,1,"Santa Rosa-Petaluma, CA",9,9,352610,352610,0.30497276,0.30497276,2.552394997305e-05,0.501795184,Metropolitan Statistical Area,0.700726544,0.611656872,0.730226635,0.633167793
47300,1,"Visalia, CA",8,8,342505,342505,0.259532663,0.259532663,2.335732325075e-05,0.41744792,Metropolitan Statistical Area,0.692327619,0.569233124,0.732082489,0.566196202
46540,2,"Utica-Rome, NY",30,75,152730,341894,0.231236073,0.060388439,0.000196425,0.188657888,Metropolitan Statistical Area,0.627502177,0.374263004,0.578612402,0.418764388
41500,1,"Salinas, CA",12,12,333221,333221,0.273774938,0.273774938,3.601213608986e-05,0.488537637,Metropolitan Statistical Area,0.551942693,0.435075027,0.404879225,0.266530621
24580,3,"Green Bay, WI",20,66,251804,330005,0.214697937,0.127325804,7.942685580848e-05,0.324282965,Metropolitan Statistical Area,0.676681753,0.504967664,0.683723025,0.515825158
15180,1,"Brownsville-Harlingen, TX",17,17,329664,329664,0.37986621,0.37986621,5.156765676567e-05,0.569764973,Metropolitan Statistical Area,NA,NA,0.72969048,0.673924078
41420,2,"Salem, OR",23,23,327538,327538,0.322317329,0.322317329,7.022085986969e-05,0.54260269,Metropolitan Statistical Area,0.530410624,0.457711859,0.527591516,0.511065866
14010,1,"Bloomington, IL",21,52,152304,323193,0.389623701,0.172828114,0.000137882,0.242217499,Metropolitan Statistical Area,0.715309054,0.541781382,0.699698139,0.557839745
24540,1,"Greeley, CO",26,26,318389,318389,0.158327697,0.158327697,8.166111266406e-05,0.343362993,Metropolitan Statistical Area,0.743057349,0.632338146,0.725346105,0.530156218
40060,8,"Richmond, VA",10,10,315678,315678,0.535957392,0.535957392,3.167784894734e-05,0.717832728,Metropolitan Statistical Area,0.501864352,0.413905813,0.501680137,0.443211404
30700,2,"Lincoln, NE",23,23,315549,315549,0.861115636,0.861115636,7.288883818361e-05,0.927453422,Metropolitan Statistical Area,0.49237211,0.414344625,0.47943186,0.405477812
26620,2,"Huntsville, AL",11,11,314050,314050,0.519516182,0.519516182,3.502626970227e-05,0.690854959,Metropolitan Statistical Area,0.69614924,0.614630408,0.716258645,0.644189844
12260,7,"Augusta-Richmond County, GA-SC",27,27,312289,312289,0.436006819,0.436006819,8.645837669594e-05,0.644262206,Metropolitan Statistical Area,0.614942338,0.514100043,0.590664032,0.462401085
31180,6,"Lubbock, TX",24,24,310959,310959,0.707416985,0.707416985,7.71805929399e-05,0.839316437,Metropolitan Statistical Area,0.545077586,0.474290963,0.541821806,0.493864762
