"cbsacode","num_counties","cbsatitle","num_munis","num_local","pop_muni","pop_total","hhi_pop_muni","hhi_pop_total"
14460,6,"Boston-Cambridge-Newton, MA-NH",36,196,2580119,4898150,0.0846600455552185,0.0257299947341784
14500,1,"Boulder, CO",9,9,274296,274296,0.300233747761775,0.300233747761775
14540,4,"Bowling Green, KY",10,10,83226,83226,0.784402811145173,0.784402811145173
14580,1,"Bozeman, MT",5,5,71535,71535,0.609574911602164,0.609574911602164
14620,1,"Bradford, PA",7,22,16931,39941,0.279566362180711,0.0885345073036583
14660,2,"Brainerd, MN",32,110,45522,91391,0.152854975175892,0.0441020426370585
14700,1,"Branson, MO",8,8,24001,24001,0.347123657495341,0.347123657495341
14710,1,"Brattleboro, VT",5,27,3888,49974,0.547883563862216,0.0941162850874475
14720,2,"Breckenridge, CO",7,7,17232,17232,0.216454062058971,0.216454062058971
14740,1,"Bremerton-Silverdale-Port Orchard, WA",4,4,96538,96538,0.316106477021104,0.316106477021104
14780,1,"Brenham, TX",2,2,18400,18400,0.969712245982987,0.969712245982987
14820,1,"Brevard, NC",2,2,8463,8463,0.846680860277045,0.846680860277045
14860,2,"Bridgeport-Stamford-Danbury, CT",5,25,464534,950073,0.261502253985658,0.0820617521292771
14940,2,"Brigham City, UT-ID",17,17,51264,51264,0.216105031166664,0.216105031166664
15020,1,"Brookhaven, MS",1,1,11812,11812,1,1
15060,1,"Brookings, OR",3,3,10357,10357,0.50035513569452,0.50035513569452
15100,1,"Brookings, SD",8,31,28458,34634,0.694633407255944,0.471708512576906
15180,1,"Brownsville-Harlingen, TX",17,17,329664,329664,0.379866209929645,0.379866209929645
15220,1,"Brownwood, TX",4,4,23826,23826,0.642472797391317,0.642472797391317
15260,3,"Brunswick-St. Simons, GA",4,4,17633,17633,0.699692375939795,0.699692375939795
15340,1,"Bucyrus, OH",7,23,28000,43270,0.336874897959184,0.151214666252273
15380,2,"Buffalo-Cheektowaga, NY",26,63,503227,1251108,0.322754545925893,0.0793341628334436
15420,2,"Burley, ID",10,10,24880,24880,0.314235290810682,0.314235290810682
15460,2,"Burlington, IA-IL",13,24,32983,39295,0.531755672348012,0.378355754554996
15500,1,"Burlington, NC",9,9,115276,115276,0.319680834526804,0.319680834526804
15540,3,"Burlington-South Burlington, VT",8,41,95411,241660,0.291940910179896,0.0692025054039966
15580,1,"Butte-Silver Bow, MT",2,2,36054,36054,0.964967409619162,0.964967409619162
15620,2,"Cadillac, MI",7,38,14492,50364,0.529047139487963,0.0685831166264704
15660,1,"Calhoun, GA",5,5,19724,19724,0.776325166223102,0.776325166223102
15700,1,"Cambridge, MD",9,9,16587,16587,0.640671085669769,0.640671085669769
15740,1,"Cambridge, OH",9,28,14455,52742,0.509977373451477,0.126207071607982
15780,2,"Camden, AR",10,10,14877,14877,0.5014036566991,0.5014036566991
15820,2,"Campbellsville, KY",2,2,13654,13654,0.730169248670113,0.730169248670113
15860,1,"Cañon City, CO",6,6,23155,23155,0.592705327540906,0.592705327540906
15900,1,"Canton, IL",20,46,24223,57420,0.328722224447934,0.129707343192552
15940,2,"Canton-Massillon, OH",23,54,179319,445932,0.216518602553033,0.0711525687787929
15980,1,"Cape Coral-Fort Myers, FL",6,6,401278,401278,0.340504070875537,0.340504070875537
16020,3,"Cape Girardeau, MO-IL",19,19,61484,61484,0.484595043423657,0.484595043423657
16060,1,"Carbondale, IL",11,27,33619,86184,0.465162973879603,0.169897983848166
16100,1,"Carlsbad-Artesia, NM",4,4,45793,45793,0.559774259084488,0.559774259084488
16140,1,"Carroll, IA",13,13,16423,16423,0.409582789538506,0.409582789538506
16180,1,"Carson City, NV",1,1,58993,58993,1,1
16220,1,"Casper, WY",6,6,69040,69040,0.729016346007957,0.729016346007957
16260,1,"Cedar City, UT",6,6,49530,49530,0.59468883295426,0.59468883295426
16300,3,"Cedar Rapids, IA",39,39,238321,238321,0.362064774595447,0.362064774595447
