"cbsacode","num_counties","cbsatitle","num_munis","num_local","pop_muni","pop_total","hhi_pop_muni","hhi_pop_total","munis_pp","index_circ","index_rect","index_rect_central","index_circ_central"
"46060",1,"Tucson, AZ",5,5,685938,685938,0.641191161514812,0.641191161514812,7.28928853628171e-06,0.594895603083944,0.455319694800303,0.526549164110594,0.393182637077219
"39340",2,"Provo-Orem-Lehi, UT",29,29,684176,684176,0.0881240837327644,0.0881240837327644,4.2386754285447e-05,0.585374071411923,0.461731032464177,0.574245102098749,0.47807896645003
"31540",4,"Madison, WI",57,141,552619,680383,0.251476251464658,0.16659867917992,0.00010314520492418,0.548829376257267,0.394137666762543,0.571129079981628,0.430202621480065
"45780",3,"Toledo, OH",42,84,447391,670018,0.37424651038306,0.176475153994448,9.38776148827312e-05,0.562504108398494,0.369725975544822,0.643751668156756,0.444229529686814
"14260",5,"Boise City, ID",22,22,647188,647188,0.214433131892085,0.214433131892085,3.39932137184249e-05,0.610970970671704,0.529768499042326,0.545459172461223,0.406696571812865
"37900",5,"Peoria, IL",58,133,284768,645608,0.182207558737184,0.0655313535297573,0.00020367457017642,0.618910933010235,0.480280624597387,0.541347211411013,0.346014269312789
"19780",6,"Des Moines-West Des Moines, IA",74,74,639676,639676,0.147412293851937,0.147412293851937,0.00011568356480468,0.549576223622603,0.415838100390751,0.652221792660088,0.536949850118117
"32580",1,"McAllen-Edinburg-Mission, TX",22,22,625112,625112,0.127611527622077,0.127611527622077,3.51936932901624e-05,0.705408073082926,0.514719845248243,0.445337871193351,0.30349146065594
"44700",1,"Stockton-Lodi, CA",7,7,624942,624942,0.322565847610471,0.322565847610471,1.12010394564616e-05,0.681156708137214,0.552853907143849,0.412475832994958,0.254008207482915
"36260",3,"Ogden, UT",31,31,619425,619425,0.0663707960789799,0.0663707960789799,5.00464140129959e-05,0.621811046631406,0.413824749467834,0.576404723777677,0.360762525263926
"12540",1,"Bakersfield-Delano, CA",11,11,608819,608819,0.463919304932489,0.463919304932489,1.80677672674473e-05,0.736873366961506,0.565178558771412,0.365330037273838,0.269798898850562
"40420",2,"Rockford, IL",16,39,263035,599313,0.344027234717511,0.156027257193895,6.08284068660064e-05,0.653114778589473,0.561324157914681,0.39071966310267,0.347449626623213
"25420",3,"Harrisburg-Carlisle, PA",37,103,162370,597460,0.129244348572694,0.0351649421374843,0.00022787460737821,0.608788646725654,0.414604465042051,0.568441990755258,0.411679060830449
"35300",1,"New Haven, CT",5,16,303282,570275,0.299243643066558,0.112636586054571,1.64863064738428e-05,0.493980438773224,0.353006037636641,0.504994754142311,0.429050614154331
"42540",3,"Scranton--Wilkes-Barre, PA",64,139,361997,567750,0.0759963491528524,0.0341324737318372,0.00017679704527938,0.616139522572039,0.394376982434436,0.5303924693191,0.350442767786003
"38860",3,"Portland-South Portland, ME",7,67,190039,556893,0.202749159060423,0.0359102946058149,3.68345444882366e-05,0.677979952562948,0.456077878813676,0.543931571341803,0.277507620692668
"30780",6,"Little Rock-North Little Rock-Conway, AR",46,46,555875,555875,0.175192483194392,0.175192483194392,8.2752417360018e-05,0.665555159598987,0.519118525023948,0.412416304014194,0.270294695817901
"29540",1,"Lancaster, PA",19,60,158072,553676,0.164205955570229,0.0341606038246448,0.00012019839060681,0.704775891504926,0.610099624503976,0.389142963936978,0.294343790467359
"24660",3,"Greensboro-High Point, NC",25,25,551506,551506,0.34107733541973,0.34107733541973,4.53304225158022e-05,0.629213562978507,0.55018334917012,0.439326217296731,0.373306029313493
"19660",2,"Deltona-Daytona Beach-Ormond Beach, FL",21,21,551236,551236,0.110570348417891,0.110570348417891,3.80962056179205e-05,0.631305489977346,0.517943957345243,0.491101875762693,0.455115114253536
"17820",2,"Colorado Springs, CO",11,11,542983,542983,0.798114763594621,0.798114763594621,2.0258461130459e-05,0.577763868022066,0.527392049472743,0.505555533555349,0.464750392585832
"16700",3,"Charleston-North Charleston, SC",27,27,536832,536832,0.176794005604573,0.176794005604573,5.02950643776824e-05,0.727267433150345,0.590407228845611,0.367465706161896,0.277205499692157
