r,obs,mmean,lo,hi,cbsa,gamma
1000,1.929003498698661e-5,1.777120811491933e-5,1.6902932129074643e-5,1.8551776543565185e-5,41940,7.382584434214238e-7
0,3.447894821152643e-5,2.3624215766209817e-5,2.242363274167825e-5,2.5211973837591445e-5,41740,9.266974373934987e-6
250,5.505913849316049e-6,3.446855400239087e-6,3.155389726436447e-6,3.773098157449421e-6,41740,1.7328156918666278e-6
500,9.414383985209453e-6,7.1383189735128675e-6,6.359459675521828e-6,7.857632360929904e-6,41740,1.5567516242795496e-6
1000,1.2693122034295159e-5,1.0067267649007506e-5,9.238010438239549e-6,1.0671038503080517e-5,41740,2.0220835312146417e-6
0,1.5779252547664123e-5,1.1483475995574182e-5,1.0917032473537784e-5,1.2083289562342556e-5,19740,3.6959629853215665e-6
250,7.967701670018016e-6,4.2850705602521285e-6,3.842280591926363e-6,4.701725267624772e-6,19740,3.265976402393244e-6
500,1.2386022492939104e-5,7.104881587019247e-6,6.604898849791846e-6,7.742799234546408e-6,19740,4.643223258392696e-6
1000,1.5826678038190502e-5,1.0192101813315735e-5,9.614947316785203e-6,1.1056155234834212e-5,19740,4.770522803356289e-6
0,1.4094299559504415e-5,1.3508932469538507e-5,1.220946906783516e-5,1.512522406979541e-5,38060,0
250,3.4051530888081547e-6,2.262169527909766e-6,2.0043560260229937e-6,2.514301882665176e-6,38060,8.908512061429788e-7
500,5.112837072122529e-6,3.935294070072313e-6,3.522711477109337e-6,4.346574595820019e-6,38060,7.662624763025098e-7
1000,5.474589995493451e-6,6.011796683202949e-6,5.4263409228365814e-6,6.646159588390672e-6,38060,0
0,1.8521523517510258e-5,1.3843102034997653e-5,1.2637529735036365e-5,1.5246919665554285e-5,38900,3.274603851955973e-6
250,1.825008549665767e-5,5.5249179999774896e-6,4.822940860816485e-6,6.473174338257978e-6,38900,1.177691115839969e-5
500,2.6475752528069552e-5,8.556901037840098e-6,7.309162600932221e-6,9.740894552505606e-6,38900,1.6734857975563946e-5
1000,2.4126596323122364e-5,1.1222977330606534e-5,9.73154724456247e-6,1.2485083702411696e-5,38900,1.1641512620710668e-5
0,2.9670432072373094e-5,1.846086768583907e-5,1.715733815450717e-5,1.9650374750296492e-5,12580,1.0020057322076602e-5
250,2.804085466167374e-6,2.1582762433710386e-6,1.914698988966994e-6,2.412443402981736e-6,12580,3.916420631856383e-7
500,7.037680330331024e-6,4.747739067902088e-6,4.439381314872669e-6,5.113423252517887e-6,12580,1.924257077813137e-6
1000,7.2293727969813255e-6,5.5790413160671755e-6,5.223437481930765e-6,5.947717647330635e-6,12580,1.2816551496506905e-6
0,2.8168310957674363e-5,2.142378684119112e-5,2.049760619482708e-5,2.270828468185626e-5,12420,5.460026275818102e-6
250,1.3935952528844182e-5,7.486032592435625e-6,6.360681647695408e-6,8.554809238097842e-6,12420,5.38114329074634e-6
500,1.5535373194956657e-5,9.653991838501223e-6,8.682823830776512e-6,1.0586465732847833e-5,12420,4.948907462108825e-6
1000,1.621391644736465e-5,1.2026235860294833e-5,1.0894519109763546e-5,1.3339502935258283e-5,12420,2.874413512106367e-6
0,1.752411661911051e-5,1.1194604030838498e-5,1.0419125570856125e-5,1.2191314413268337e-5,45300,5.332802205842174e-6
250,4.562887752891467e-6,2.43274115945619e-6,2.089872212649907e-6,2.8685245692451362e-6,45300,1.6943631836463308e-6
500,7.031459637797667e-6,4.163767002763638e-6,3.7171132911291285e-6,4.638832807361602e-6,45300,2.392626830436065e-6
1000,6.914499906370729e-6,5.7102760466265764e-6,5.293609706136962e-6,6.244012390092077e-6,45300,6.704875162786525e-7
0,1.278145496148667e-5,1.1638670776770338e-5,9.75227658878099e-6,1.3971505465688894e-5,40140,0
250,3.7375059444335354e-6,2.7249871887255386e-6,2.287776745414606e-6,3.2835992195928244e-6,40140,4.5390672484071095e-7
500,5.163525774168826e-6,4.9947179252991664e-6,4.000184788212848e-6,6.072477608542498e-6,40140,0
1000,7.18774495325719e-6,8.58564697336932e-6,7.282864389588679e-6,1.0013219370264911e-5,40140,0
0,3.210875110478748e-5,1.1498619677643484e-5,1.0209532499067293e-5,1.2764142256888012e-5,16740,1.934460884789947e-5
250,5.959034061661174e-6,2.121238898682552e-6,1.7890649784141654e-6,2.5675805301036147e-6,16740,3.3914535315575596e-6
500,1.1174607177185463e-5,3.0701325513139143e-6,2.443133497628617e-6,3.8435907731051975e-6,16740,7.331016404080265e-6
1000,1.3787495632250751e-5,4.429797675825198e-6,3.6927485424980883e-6,5.216344437764826e-6,16740,8.571151194485925e-6
0,2.4182017649079338e-5,1.219387868439097e-5,1.0985982527015459e-5,1.3490592611597621e-5,41180,1.0691425037481717e-5
250,8.724383224259058e-6,2.836356854180058e-6,2.4462882544171965e-6,3.3118010115077583e-6,41180,5.4125822127513e-6
500,1.2441851685761846e-5,4.792619531390503e-6,4.218919367518282e-6,5.524440717812959e-6,41180,6.9174109679488875e-6
1000,1.0633663730502949e-5,6.079263501827953e-6,5.430551398221858e-6,7.071512516596566e-6,41180,3.5621512139063823e-6
