r,obs,mmean,lo,hi,cbsa,gamma
0,2.20995484779989e-4,6.524623168390145e-5,4.9526814510639436e-5,8.321078058782217e-5,41540,1.3778470419216683e-4
250,7.195347874528709e-5,2.957082093497403e-5,2.3665737228207594e-5,3.832605640476347e-5,41540,3.362742234052362e-5
500,7.057787422809016e-5,2.001099518624288e-5,1.2567954176039967e-5,3.17321201183629e-5,41540,3.884575410972726e-5
1000,4.6358835771058086e-5,1.538557682498808e-5,9.608278999535038e-6,2.1542037980748207e-5,41540,2.481679779030988e-5
0,1.540312609936436e-4,3.0579144564643784e-5,1.5459020214259146e-5,5.484847526787705e-5,33660,9.918278572576655e-5
250,8.827765998599196e-5,2.1883266843216882e-5,1.2939390186915265e-5,3.674250583927802e-5,33660,5.153515414671394e-5
500,6.684759160824406e-5,1.2628250967615637e-5,6.158926583801977e-6,1.9062248798319154e-5,33660,4.778534280992491e-5
1000,5.451697502096802e-5,1.1620624607939953e-5,5.952120661076307e-6,2.172012462911516e-5,33660,3.279685039185286e-5
0,6.843192593682458e-5,8.054329253297974e-5,3.75780907056674e-5,1.5143935003114587e-4,32780,0
250,6.1026720451540746e-5,4.886554874258698e-5,2.9839906253307448e-5,7.286368973815004e-5,32780,0
500,6.972963622372737e-5,2.9459267919496058e-5,1.8554596114553826e-5,4.608650701947548e-5,32780,2.364312920425189e-5
1000,7.039735845887787e-5,3.188277469994888e-5,1.7758628645456117e-5,4.872913274607384e-5,32780,2.1668225712804028e-5
0,5.809641342349135e-5,4.300756707511402e-5,2.31770326557741e-5,7.28892057110437e-5,40220,0
250,4.331568486506861e-5,3.1355923686562595e-5,1.837924715643932e-5,4.992625023010342e-5,40220,0
500,2.5664570355720424e-5,2.003288416957484e-5,1.0735252706836503e-5,3.281766447942017e-5,40220,0
1000,2.979645333208922e-5,2.106063129276846e-5,9.763674083384884e-6,4.7111356497304215e-5,40220,0
0,7.647647106280793e-5,3.560040705862599e-5,8.222734192564216e-8,1.2027050041634905e-4,41060,0
250,7.49748367502144e-5,2.4137354399101865e-5,5.077590124084155e-7,6.274732630775037e-5,41060,1.222751044246403e-5
500,7.686317591296362e-5,1.6480158841046762e-5,2.1705060150003644e-6,4.3412605488708654e-5,41060,3.345057042425497e-5
1000,8.21869327032015e-5,1.5398008127141173e-5,2.2894077171887477e-8,3.746362858464503e-5,41060,4.472330411855647e-5
0,3.462392872770664e-5,5.361016208227863e-5,2.8160311777111996e-5,8.976780479638041e-5,28020,0
250,3.4163603714507664e-5,3.9678659601154866e-5,2.3369351981105882e-5,6.021314284363242e-5,28020,0
500,3.257260310899412e-5,2.530747663688791e-5,1.3637992274442799e-5,4.161628548091517e-5,28020,0
1000,3.030669700467575e-5,2.0766374234096905e-5,9.295608413359754e-6,3.5224476429959354e-5,28020,0
0,1.1535552251209081e-4,7.671186720115769e-5,6.864838119995799e-5,8.7261232422571e-5,45940,2.809429008951982e-5
250,2.8752105448259494e-5,1.9518162793279394e-5,1.709957588714378e-5,2.253968809679101e-5,45940,6.212417351468483e-6
500,2.196087300388841e-5,1.528927748205889e-5,1.2682775341905769e-5,1.799250839947536e-5,45940,3.9683646044130504e-6
1000,2.4827970492815923e-5,2.141595593773286e-5,1.830197750751186e-5,2.463887944054247e-5,45940,1.8909105227345248e-7
0,1.0767153632849176e-4,6.414485689011842e-5,4.9484269305525216e-5,8.720460251307153e-5,15540,2.046693381542023e-5
250,5.754658737193579e-5,2.8654381260865097e-5,2.2700279719154912e-5,3.5924148968944965e-5,15540,2.1622438402990828e-5
500,7.261460195191914e-5,2.4242509225825728e-5,1.685038118719255e-5,3.5402586907887406e-5,15540,3.721201504403174e-5
1000,7.144035196376188e-5,3.254336475006668e-5,2.144809162398994e-5,4.592447681333774e-5,15540,2.5515875150424143e-5
0,1.178088485640136e-4,9.196129391989589e-5,3.630727675914918e-5,1.9241191401970728e-4,42340,0
250,9.765612483143039e-5,5.744067489199492e-5,2.748430087395631e-5,1.0351738261376427e-4,42340,0
500,1.0352766121619077e-4,2.6642057816409216e-5,1.5044867158882609e-5,4.1899277491250044e-5,42340,6.162838372494072e-5
